date,open,high,low,close,volume
26-07-2022,152.259995,153.089996,150.800003,151.600006,55138700
27-07-2022,152.580002,157.330002,152.160004,156.789993,78620700
28-07-2022,156.979996,157.639999,154.410004,157.350006,81378700
29-07-2022,161.240005,163.630005,159.5,162.509995,101786900
01-08-2022,161.009995,163.589996,160.889999,161.509995,67829400
02-08-2022,160.100006,162.410004,159.630005,160.009995,59907000
03-08-2022,160.839996,166.589996,160.75,166.130005,82507500
04-08-2022,166.009995,167.190002,164.429993,165.809998,55474100
05-08-2022,163.210007,165.850006,163,165.350006,56697000
08-08-2022,166.369995,167.809998,164.199997,164.869995,60276900
09-08-2022,164.020004,165.820007,163.25,164.919998,63135500
10-08-2022,167.679993,169.339996,166.899994,169.240005,70170500
11-08-2022,170.059998,170.990005,168.190002,168.490005,57149200
12-08-2022,169.820007,172.169998,169.399994,172.100006,68039400
15-08-2022,171.520004,173.389999,171.350006,173.190002,54091700
16-08-2022,172.779999,173.710007,171.660004,173.029999,56377100
17-08-2022,172.770004,176.149994,172.570007,174.550003,79542000
18-08-2022,173.75,174.899994,173.119995,174.149994,62290100
19-08-2022,173.029999,173.740005,171.309998,171.520004,70346300
22-08-2022,169.690002,169.860001,167.139999,167.570007,69026800
23-08-2022,167.080002,168.710007,166.649994,167.229996,54147100
24-08-2022,167.320007,168.110001,166.25,167.529999,53841500
25-08-2022,168.779999,170.139999,168.350006,170.029999,51218200
26-08-2022,170.570007,171.050003,163.559998,163.619995,78961000
29-08-2022,161.149994,162.899994,159.820007,161.380005,73314000
30-08-2022,162.130005,162.559998,157.720001,158.910004,77906200
31-08-2022,160.309998,160.580002,157.139999,157.220001,87991100
01-09-2022,156.639999,158.419998,154.669998,157.960007,74229900
02-09-2022,159.75,160.360001,154.970001,155.809998,76957800
06-09-2022,156.470001,157.089996,153.690002,154.529999,73714800
07-09-2022,154.820007,156.669998,153.610001,155.960007,87449600
08-09-2022,154.639999,156.360001,152.679993,154.460007,84923800
09-09-2022,155.470001,157.820007,154.75,157.369995,68028800
12-09-2022,159.589996,164.259995,159.300003,163.429993,104956000
13-09-2022,159.899994,160.539993,153.369995,153.839996,122656600
14-09-2022,154.789993,157.100006,153.610001,155.309998,87965400
15-09-2022,154.649994,155.240005,151.380005,152.369995,90481100
16-09-2022,151.210007,151.350006,148.369995,150.699997,162278800
19-09-2022,149.309998,154.559998,149.100006,154.479996,81474200
20-09-2022,153.399994,158.080002,153.080002,156.899994,107689800
21-09-2022,157.339996,158.740005,153.600006,153.720001,101696800
22-09-2022,152.380005,154.470001,150.910004,152.740005,86652500
23-09-2022,151.190002,151.470001,148.559998,150.429993,96029900
26-09-2022,149.660004,153.770004,149.639999,150.770004,93339400
27-09-2022,152.740005,154.720001,149.949997,151.759995,84442700
28-09-2022,147.639999,150.639999,144.839996,149.839996,146691400
29-09-2022,146.100006,146.720001,140.679993,142.479996,128138200
30-09-2022,141.279999,143.100006,138,138.199997,124925300
03-10-2022,138.210007,143.070007,137.690002,142.449997,114311700
04-10-2022,145.029999,146.220001,144.259995,146.100006,87830100
05-10-2022,144.070007,147.380005,143.009995,146.399994,79471000
06-10-2022,145.809998,147.539993,145.220001,145.429993,68402200
07-10-2022,142.539993,143.100006,139.449997,140.089996,85925600
10-10-2022,140.419998,141.889999,138.570007,140.419998,74899000
11-10-2022,139.899994,141.350006,138.220001,138.979996,77033700
12-10-2022,139.130005,140.360001,138.160004,138.339996,70433700
13-10-2022,134.990005,143.589996,134.369995,142.990005,113224000
14-10-2022,144.309998,144.520004,138.190002,138.380005,88598000
17-10-2022,141.070007,142.899994,140.270004,142.410004,85250900
18-10-2022,145.490005,146.699997,140.610001,143.75,99136600
19-10-2022,141.690002,144.949997,141.5,143.860001,61758300
20-10-2022,143.020004,145.889999,142.649994,143.389999,64522000
21-10-2022,142.869995,147.850006,142.649994,147.270004,86548600
24-10-2022,147.190002,150.229996,146,149.449997,75981900
25-10-2022,150.089996,152.490005,149.360001,152.339996,74732300
26-10-2022,150.960007,151.990005,148.039993,149.350006,88194300
27-10-2022,148.070007,149.050003,144.130005,144.800003,109180200
28-10-2022,148.199997,157.5,147.820007,155.740005,164762400
31-10-2022,153.160004,154.240005,151.919998,153.339996,97943200
01-11-2022,155.080002,155.449997,149.130005,150.649994,80379300
02-11-2022,148.949997,152.169998,145,145.029999,93604600
03-11-2022,142.059998,142.800003,138.75,138.880005,97918500
04-11-2022,142.089996,142.669998,134.380005,138.380005,140814800
07-11-2022,137.110001,139.149994,135.669998,138.919998,83374600
08-11-2022,140.410004,141.429993,137.490005,139.5,89908500
09-11-2022,138.5,138.550003,134.589996,134.869995,74917800
10-11-2022,141.240005,146.869995,139.5,146.869995,118854000
11-11-2022,145.820007,150.009995,144.369995,149.699997,93979700
14-11-2022,148.970001,150.279999,147.429993,148.279999,73374100
15-11-2022,152.220001,153.589996,148.559998,150.039993,89868300
16-11-2022,149.130005,149.869995,147.289993,148.789993,64218300
17-11-2022,146.429993,151.479996,146.149994,150.720001,80389400
18-11-2022,152.309998,152.699997,149.970001,151.289993,74829600
21-11-2022,150.160004,150.369995,147.720001,148.009995,58724100
22-11-2022,148.130005,150.419998,146.929993,150.179993,51804100
23-11-2022,149.449997,151.830002,149.339996,151.070007,58301400
25-11-2022,148.309998,148.880005,147.119995,148.110001,35195900
28-11-2022,145.139999,146.639999,143.380005,144.220001,69246000
29-11-2022,144.289993,144.809998,140.350006,141.169998,83763800
30-11-2022,141.399994,148.720001,140.550003,148.029999,111380900
01-12-2022,148.210007,149.130005,146.610001,148.309998,71250400
02-12-2022,145.960007,148,145.649994,147.809998,65447400
05-12-2022,147.770004,150.919998,145.770004,146.630005,68826400
06-12-2022,147.070007,147.300003,141.919998,142.910004,64727200
07-12-2022,142.190002,143.369995,140,140.940002,69721100
08-12-2022,142.360001,143.520004,141.100006,142.649994,62128300
09-12-2022,142.339996,145.570007,140.899994,142.160004,76097000
12-12-2022,142.699997,144.5,141.059998,144.490005,70462700
13-12-2022,149.5,149.970001,144.240005,145.470001,93886200
14-12-2022,145.350006,146.660004,141.160004,143.210007,82291200
15-12-2022,141.110001,141.800003,136.029999,136.5,98931900
16-12-2022,136.690002,137.649994,133.729996,134.509995,160156900
19-12-2022,135.110001,135.199997,131.320007,132.369995,79592600
20-12-2022,131.389999,133.25,129.889999,132.300003,77432800
21-12-2022,132.979996,136.809998,132.75,135.449997,85928000
22-12-2022,134.350006,134.559998,130.300003,132.229996,77852100
23-12-2022,130.919998,132.419998,129.639999,131.860001,63814900
27-12-2022,131.380005,131.410004,128.720001,130.029999,69007800
28-12-2022,129.669998,131.029999,125.870003,126.040001,85438400
29-12-2022,127.989998,130.479996,127.730003,129.610001,75703700
30-12-2022,128.410004,129.949997,127.43,129.929993,77034200
03-01-2023,130.279999,130.899994,124.169998,125.07,112117500
04-01-2023,126.889999,128.660004,125.080002,126.360001,89113600
05-01-2023,127.129997,127.769997,124.760002,125.019997,80962700
06-01-2023,126.010002,130.289993,124.889999,129.619995,87754700
09-01-2023,130.470001,133.410004,129.889999,130.149994,70790800
10-01-2023,130.259995,131.259995,128.119995,130.729996,63896200
11-01-2023,131.25,133.509995,130.460007,133.490005,69458900
12-01-2023,133.880005,134.259995,131.440002,133.410004,71379600
13-01-2023,132.029999,134.919998,131.660004,134.759995,57809700
17-01-2023,134.830002,137.289993,134.130005,135.940002,63646600
18-01-2023,136.820007,138.610001,135.029999,135.210007,69672800
19-01-2023,134.080002,136.25,133.770004,135.270004,58280400
20-01-2023,135.279999,138.020004,134.220001,137.869995,80223600
23-01-2023,138.119995,143.320007,137.899994,141.110001,81760300
24-01-2023,140.309998,143.160004,140.300003,142.529999,66435100
25-01-2023,140.889999,142.429993,138.809998,141.860001,65799300
26-01-2023,143.169998,144.25,141.899994,143.960007,54105100
27-01-2023,143.160004,147.229996,143.080002,145.929993,70555800
30-01-2023,144.960007,145.550003,142.850006,143,64015300
31-01-2023,142.699997,144.339996,142.279999,144.289993,65874500
01-02-2023,143.970001,146.610001,141.320007,145.429993,77663600
02-02-2023,148.899994,151.179993,148.169998,150.820007,118339000
03-02-2023,148.029999,157.380005,147.830002,154.5,154357300
06-02-2023,152.570007,153.100006,150.779999,151.729996,69858300
07-02-2023,150.639999,155.229996,150.639999,154.649994,83322600
08-02-2023,153.880005,154.580002,151.169998,151.919998,64120100
09-02-2023,153.779999,154.330002,150.419998,150.869995,56007100
10-02-2023,149.460007,151.339996,149.220001,151.009995,57450700
13-02-2023,150.949997,154.259995,150.919998,153.850006,62199000
14-02-2023,152.119995,153.770004,150.860001,153.199997,61707600
15-02-2023,153.110001,155.5,152.880005,155.330002,65573800
16-02-2023,153.509995,156.330002,153.350006,153.710007,68167900
17-02-2023,152.350006,153,150.850006,152.550003,59144100
21-02-2023,150.199997,151.300003,148.410004,148.479996,58867200
22-02-2023,148.869995,149.949997,147.160004,148.910004,51011300
23-02-2023,150.089996,150.339996,147.240005,149.399994,48394200
24-02-2023,147.110001,147.190002,145.720001,146.710007,55469600
27-02-2023,147.710007,149.169998,147.449997,147.919998,44998500
28-02-2023,147.050003,149.080002,146.830002,147.410004,50547000
01-03-2023,146.830002,147.229996,145.009995,145.309998,55479000
02-03-2023,144.380005,146.710007,143.899994,145.910004,52238100
03-03-2023,148.039993,151.110001,147.330002,151.029999,70732300
06-03-2023,153.789993,156.300003,153.460007,153.830002,87558000
07-03-2023,153.699997,154.029999,151.130005,151.600006,56182000
08-03-2023,152.809998,153.470001,151.830002,152.869995,47204800
09-03-2023,153.559998,154.539993,150.229996,150.589996,53833600
10-03-2023,150.210007,150.940002,147.610001,148.5,68572400
13-03-2023,147.809998,153.139999,147.699997,150.470001,84457100
14-03-2023,151.279999,153.399994,150.100006,152.589996,73695900
