date,open,high,low,close,volume
17-02-2022,136.2429962,137.1134949,132.4785004,132.5390015,38950000
18-02-2022,133.4669952,134.0700073,130.1965027,130.4029999,45620000
22-02-2022,129.8379974,132.1804962,128.2234955,129.8135071,44990000
23-02-2022,131.6484985,132.0509949,127.5274963,127.5879974,32786000
24-02-2022,124.9534988,133,124.9534988,132.6909943,54456000
25-02-2022,133.552002,135.2714996,131.7514954,134.4595032,36406000
28-02-2022,133.0500031,135.7514954,132.5924988,135.0570068,38864000
01-03-2022,134.8784943,136.2554932,133.2185059,134.0614929,26496000
02-03-2022,134.628006,135.2624969,133.0715027,134.5715027,23520000
03-03-2022,136.0099945,136.4394989,133.0254974,133.8995056,24604000
04-03-2022,132.9275055,133.8515015,130.3374939,131.9064941,30430000
07-03-2022,131.4880066,131.7350006,126.2949982,126.3785019,45112000
08-03-2022,126.25,131.25,125.6744995,127.1044998,40428000
09-03-2022,131.25,133.7355042,129.9004974,133.4199982,37026000
10-03-2022,131.2660065,133.2720032,130.9125061,132.4295044,27102000
11-03-2022,133.4884949,133.7955017,129.6315002,129.8704987,31526000
14-03-2022,130.25,130.4089966,125.2750015,125.9509964,38812000
15-03-2022,126.9759979,129.8545074,125.7204971,129.197998,30920000
16-03-2022,130.7330017,133.3329926,128.7344971,133.2805023,35576000
17-03-2022,133.1490021,134.0805054,132.1849976,133.8390045,28264000
18-03-2022,133.4244995,136.2440033,132.2584991,136.1255035,44566000
21-03-2022,136.1634979,137.0500031,134.0924988,136.1015015,26832000
22-03-2022,136.1015015,141.0500031,136.1015015,139.8679962,35496000
23-03-2022,138.7024994,139.588501,137.8350067,138.2754974,25154000
24-03-2022,139.1999969,141.6190033,137.7505035,141.5720062,26396000
25-03-2022,141.9160004,142.0350037,139.7375031,141.6730042,24126000
28-03-2022,140.9004974,142.0025024,139.8114929,141.4555054,35050000
29-03-2022,142.6475067,143.7935028,142.0384979,142.5054932,34318000
30-03-2022,142.4600067,142.7205048,141.6000061,141.9385071,19884000
31-03-2022,142.0529938,142.1080017,139.0245056,139.0675049,37524000
01-04-2022,139.5,140.470993,138.3074951,140.1504974,25942000
04-04-2022,140.3585052,143.7120056,140.3105011,142.9714966,25942000
05-04-2022,142.8690033,142.9904938,140.3825073,140.5910034,21418000
06-04-2022,138.75,139.3605042,135.5169983,136.5480042,32468000
07-04-2022,136.0099945,137.164505,134.2274933,135.888504,26234000
08-04-2022,135.5834961,135.6699982,132.9654999,133.2875061,25142000
11-04-2022,131.8235016,132.0924988,128.6685028,128.8235016,36884000
12-04-2022,131.6000061,131.6000061,126.7890015,127.7145004,32710000
13-04-2022,128,130.3339996,127.7409973,129.8939972,27928000
14-04-2022,130.4795074,130.4795074,126.6009979,126.7300034,31598000
18-04-2022,127,128.2124939,126.1819992,127.6764984,20808000
19-04-2022,127.6914978,130.3329926,126.9994965,130.0090027,26490000
20-04-2022,130.8919983,131.3990021,127.5,128.0399933,31696000
21-04-2022,129.25,130.0984955,124.5264969,124.8144989,36446000
22-04-2022,125,125.4020004,118.9250031,119.635498,56884000
25-04-2022,119.1009979,123.2774963,118.5110016,123.0739975,46128000
26-04-2022,122.2945023,122.5100021,118.5110016,118.6500015,73054000
27-04-2022,114.4694977,117.2419968,112.7365036,114.2945023,91820000
28-04-2022,116.4150009,119.649498,114.1149979,118.5224991,48884000
29-04-2022,116.7344971,117.9199982,113.8144989,114.1094971,42676000
02-05-2022,113.4049988,116.7454987,112.5999985,116.5830002,35534000
03-05-2022,116.4304962,118.4420013,116.0345001,117.3339996,24968000
04-05-2022,117.0315018,122.8544998,115.1159973,122.2610016,49916000
05-05-2022,120.2040024,121.0390015,115.0055008,116.5055008,45840000
06-05-2022,115.1845016,117.5715027,114.0155029,115.7464981,39710000
09-05-2022,113.25,115.0770035,112.0005035,112.5110016,40802000
10-05-2022,115.5074997,116.25,112.9004974,114.3949966,39900000
11-05-2022,113.2365036,116.364502,113.2365036,113.6025009,37534000
12-05-2022,111.3775024,114.2949982,109.824501,112.8440018,53836000
13-05-2022,114.5329971,117.875,113.6050034,116.050499,35038000
16-05-2022,114.9554977,116.1699982,113.8895035,114.4449997,25990000
17-05-2022,116.8404999,116.9000015,114.8700027,116.4729996,23054000
18-05-2022,115,115.4000015,111.5554962,111.899498,35126000
19-05-2022,111.4315033,113.0100021,110,110.3840027,34144000
20-05-2022,111.9509964,112.1835022,105.7965012,108.9079971,48962000
23-05-2022,109.5875015,112.1474991,108.7409973,111.487999,37184000
24-05-2022,105.7720032,106.4585037,101.8844986,105.9700012,76780000
25-05-2022,104.9854965,106.5,103.8564987,105.8050003,40258000
26-05-2022,105.677002,108.649498,105.2249985,107.7925034,37948000
27-05-2022,109.4830017,112.3180008,109.1384964,112.3164978,37914000
31-05-2022,112.7464981,115.7350006,112.0784988,113.762001,50012000
01-06-2022,114.8550034,117.1015015,113.25,113.8919983,36606000
02-06-2022,114,117.899498,112.9465027,117.6224976,37992000
03-06-2022,116.0625,116.3215027,113.5185013,114.5410004,26136000
06-06-2022,116.7044983,119.3470001,116.1640015,116.8205032,33542000
07-06-2022,115.4804993,117.6910019,115.052002,117.149498,31590000
08-06-2022,116.7614975,118.5705032,116.5999985,117.1940002,26108000
09-06-2022,116.3274994,118.2990036,114.776001,114.8355026,25798000
10-06-2022,112.4449997,113.2789993,110.3659973,111.161499,41452000
13-06-2022,106.786499,108.7914963,106.1190033,106.3925018,47252000
