date,close,high,low,open,volume
03-01-2022,334.75,338,329.7799988,335.3500061,28865100
04-01-2022,329.0100098,335.2000122,326.1199951,334.8299866,32674300
05-01-2022,316.3800049,326.0700073,315.980011,325.8599854,40054300
06-01-2022,313.8800049,318.7000122,311.4899902,313.1499939,39646100
07-01-2022,314.0400085,316.5,310.0899963,314.1499939,32720000
10-01-2022,314.269989,314.7200012,304.6900024,309.4899902,44289500
11-01-2022,314.980011,316.6099854,309.8900146,313.3800049,29386800
12-01-2022,318.269989,323.4100037,317.0799866,319.6700134,34372200
13-01-2022,304.7999878,320.8800049,304,320.4700012,45366000
14-01-2022,310.2000122,310.8200073,303.75,304.25,39846400
18-01-2022,302.6499939,309.7999878,301.7399902,304.0700073,42333200
19-01-2022,303.3299866,313.9100037,302.7000122,306.2900085,45933900
20-01-2022,301.6000061,311.6499939,301.1400146,309.0700073,35380700
21-01-2022,296.0299988,304.1099854,295.6099854,302.6900024,57984400
24-01-2022,296.3699951,297.1099854,276.0499878,292.2000122,85731500
25-01-2022,288.4899902,294.9899902,285.1700134,291.519989,72848600
26-01-2022,296.7099915,308.5,293.0299988,307.9899902,90428900
27-01-2022,299.8399963,307.2999878,297.9299927,302.6600037,53481300
28-01-2022,308.2600098,308.480011,294.4500122,300.230011,49743700
31-01-2022,310.980011,312.3800049,306.3699951,308.9500122,46444500
01-02-2022,308.7600098,310.6300049,305.1300049,310.4100037,40950400
02-02-2022,313.4599915,315.1199951,308.8800049,309.6300049,36636000
03-02-2022,301.25,311.230011,299.9599915,309.4899902,43730000
04-02-2022,305.9400024,308.7999878,299.9700012,300.2099915,35096500
07-02-2022,300.9500122,307.8399963,299.8999939,306.1700134,28533300
08-02-2022,304.5599976,305.5599976,299.9500122,301.25,32421200
09-02-2022,311.2099915,311.9299927,307.3900146,309.8699951,31284700
10-02-2022,302.3800049,309.1199951,300.7000122,304.0400085,45386200
11-02-2022,295.0400085,304.2900085,294.2200012,303.1900024,39175600
14-02-2022,295,296.7600098,291.3500061,293.769989,36359500
15-02-2022,300.4700012,300.7999878,297.019989,300.0100098,27058300
16-02-2022,299.5,300.8699951,293.6799927,298.3699951,29982100
17-02-2022,290.730011,296.7999878,290,296.3599854,32461600
18-02-2022,287.9299927,293.8599854,286.3099976,293.0499878,34264000
22-02-2022,287.7200012,291.5400085,284.5,285,41736100
23-02-2022,280.269989,291.7000122,280.1000061,290.1799927,37811200
24-02-2022,294.5899963,295.1600037,271.519989,272.5100098,56989700
25-02-2022,297.3099976,297.6300049,291.6499939,295.1400146,32546700
28-02-2022,298.7900085,299.1400146,293,294.3099976,34627500
01-03-2022,294.9500122,299.9700012,292.1499939,296.3999939,31217800
02-03-2022,300.1900024,301.4700012,293.7000122,295.3599854,31873000
03-03-2022,295.9200134,303.1300049,294.0499878,302.8900146,27314500
04-03-2022,289.8599854,295.6600037,287.1700134,294.2900085,32356500
07-03-2022,278.9100037,289.6900024,278.5299988,288.5299988,43157200
08-03-2022,275.8500061,283.9599915,270,277.7999878,48159500
09-03-2022,288.5,289.6000061,280.7799988,283.4400024,35204500
10-03-2022,285.5899963,286.6000061,280.5799866,283.019989,30628000
11-03-2022,280.0700073,289.5100098,279.4299927,287.9599915,27209300
14-03-2022,276.4400024,285.3999939,275.8200073,280.3399963,30660700
15-03-2022,287.1499939,287.8200073,278.730011,280.3500061,34245100
16-03-2022,294.3900146,294.5700073,283.2000122,289.1099854,37826300
17-03-2022,295.2200012,295.6099854,289.3699951,293.2900085,30816600
18-03-2022,300.4299927,301,292.730011,295.3699951,43390600
21-03-2022,299.1600037,300.1400146,294.8999939,298.8900146,28351200
22-03-2022,304.0599976,305,298.769989,299.7999878,27599700
23-03-2022,299.4899902,303.230011,297.7200012,300.5100098,25715400
24-03-2022,304.1000061,304.2000122,298.3200073,299.1400146,24484500
25-03-2022,303.6799927,305.5,299.2900085,305.230011,22566500
28-03-2022,310.7000122,310.7999878,304.3299866,304.3299866,29578200
29-03-2022,315.4100037,315.8200073,309.0499878,313.9100037,30393400
30-03-2022,313.8599854,315.9500122,311.5799866,313.7600098,28163600
31-03-2022,308.3099976,315.1400146,307.8900146,313.8999939,33422100
01-04-2022,309.4200134,310.1300049,305.5400085,309.3699951,27110500
04-04-2022,314.9700012,315.1099854,309.7099915,310.0899963,24289600
05-04-2022,310.8800049,314.8699951,309.8699951,313.269989,23156700
06-04-2022,299.5,307,296.7099915,305.1900024,40110400
07-04-2022,301.3699951,303.6499939,296.3500061,296.6600037,31411200
08-04-2022,296.9700012,301.1199951,296.2799988,300.4400024,24361900
11-04-2022,285.2600098,292.6099854,285,291.7900085,34569300
12-04-2022,282.0599976,290.7399902,280.4899902,289.2399902,30966700
13-04-2022,287.6199951,288.5799866,281.2999878,282.730011,21907200
